codigo_producto;sucursal;precio_venta;fecha_venta;nombe-producto;costo;Utilidad
P;Porland;11245.98;lunes 26 de junio de 2017;Volvo;579877;-568631.02
M;Porland;11654.35;sábado 25 de noviembre de 2017;Mazda;327078;-315423.65
P;Porland;34506.93;lunes 31 de julio de 2017;Volvo;579877;-545370.07
D;Porland;4087.87;jueves 02 de febrero de 2017;Jaguar;384724;-380636.13
L;Porland;39431.3;jueves 07 de diciembre de 2017;Volkswagen;478975;-439543.7
C;Porland;16570.98;martes 24 de octubre de 2017;Ford;145385;-128814.02
N;Porland;5281.32;martes 04 de julio de 2017;BMW;366207;-360925.68
G;Porland;23894.91;domingo 30 de abril de 2017;Jeep;62985;-39090.09
S;Porland;37908.27;jueves 16 de marzo de 2017;Peugeot;287741;-249832.73
S;Porland;1608.44;domingo 27 de agosto de 2017;Peugeot;287741;-286132.56
J;Porland;25633.15;jueves 28 de diciembre de 2017;Mitsubishi;362567;-336933.85
O;Porland;44164.74;miércoles 12 de abril de 2017;Fiat;117711;-73546.26
Q;Porland;17070.64;martes 04 de abril de 2017;Suzuki;121590;-104519.36
C;Porland;46661.63;viernes 24 de febrero de 2017;Ford;145385;-98723.37
H;Porland;42311.29;miércoles 15 de noviembre de 2017;Renault;417019;-374707.71
D;Porland;20685.72;martes 12 de diciembre de 2017;Jaguar;384724;-364038.28
G;Porland;36662.67;miércoles 21 de junio de 2017;Jeep;62985;-26322.33
T;Porland;22061.09;miércoles 08 de marzo de 2017;Isuzu;288473;-266411.91
H;Porland;9994.57;martes 27 de junio de 2017;Renault;417019;-407024.43
F;Porland;35232.99;sábado 21 de octubre de 2017;Citroen;361084;-325851.01
C;Porland;14666.02;viernes 28 de julio de 2017;Ford;145385;-130718.98
M;Porland;11001.53;miércoles 06 de diciembre de 2017;Mazda;327078;-316076.47
O;Porland;29996.27;lunes 27 de febrero de 2017;Fiat;117711;-87714.73
E;Porland;44004.42;domingo 11 de junio de 2017;Kia;526617;-482612.58
E;Porland;23353.01;martes 30 de mayo de 2017;Kia;526617;-503263.99
B;Porland;27261.9;lunes 20 de noviembre de 2017;Audi;506811;-479549.1
P;Porland;22411.88;jueves 10 de agosto de 2017;Volvo;579877;-557465.12
P;Porland;30740.53;domingo 05 de noviembre de 2017;Volvo;579877;-549136.47
B;Porland;9648.62;miércoles 18 de enero de 2017;Audi;506811;-497162.38
C;Porland;2977.97;martes 11 de julio de 2017;Ford;145385;-142407.03
Q;Porland;29978.55;jueves 23 de noviembre de 2017;Suzuki;121590;-91611.45
G;Porland;47986.48;viernes 24 de febrero de 2017;Jeep;62985;-14998.52
R;Porland;3667.03;miércoles 23 de agosto de 2017;Seat;3396;271.03
O;Porland;8508.78;domingo 25 de junio de 2017;Fiat;117711;-109202.22
M;Porland;3777.75;lunes 10 de julio de 2017;Mazda;327078;-323300.25
B;Porland;41291.28;martes 14 de marzo de 2017;Audi;506811;-465519.72
M;Porland;38946.07;lunes 26 de junio de 2017;Mazda;327078;-288131.93
Q;Porland;1617.91;sábado 09 de diciembre de 2017;Suzuki;121590;-119972.09
S;Porland;48366.75;sábado 02 de diciembre de 2017;Peugeot;287741;-239374.25
N;Porland;26821.73;sábado 04 de marzo de 2017;BMW;366207;-339385.27
J;Porland;31248.19;jueves 08 de junio de 2017;Mitsubishi;362567;-331318.81
A;Porland;18531.45;lunes 30 de octubre de 2017;Mercedes-Benz;665685;-647153.55
A;Porland;29196.78;martes 30 de mayo de 2017;Mercedes-Benz;665685;-636488.22
O;Porland;25219.82;domingo 30 de julio de 2017;Fiat;117711;-92491.18
L;Porland;10117.8;miércoles 25 de octubre de 2017;Volkswagen;478975;-468857.2
K;Porland;30218.92;martes 11 de abril de 2017;Toyota;509328;-479109.08
S;Porland;20778.77;miércoles 29 de marzo de 2017;Peugeot;287741;-266962.23
R;Porland;24839.69;jueves 23 de noviembre de 2017;Seat;3396;21443.69
O;Porland;46087.28;domingo 21 de mayo de 2017;Fiat;117711;-71623.72
O;Porland;2352.06;viernes 08 de septiembre de 2017;Fiat;117711;-115358.94
O;Porland;23661.62;sábado 04 de marzo de 2017;Fiat;117711;-94049.38
P;Porland;47030.97;miércoles 05 de julio de 2017;Volvo;579877;-532846.03
L;Porland;32272.04;martes 26 de septiembre de 2017;Volkswagen;478975;-446702.96
A;Porland;9170.13;miércoles 18 de enero de 2017;Mercedes-Benz;665685;-656514.87
E;Porland;339.66;martes 09 de mayo de 2017;Kia;526617;-526277.34
S;Porland;33759.22;sábado 08 de abril de 2017;Peugeot;287741;-253981.78
O;Porland;32039.89;miércoles 16 de agosto de 2017;Fiat;117711;-85671.11
M;Porland;18363.02;lunes 20 de marzo de 2017;Mazda;327078;-308714.98
L;Porland;3371.25;domingo 17 de diciembre de 2017;Volkswagen;478975;-475603.75
D;Porland;31278.49;miércoles 08 de noviembre de 2017;Jaguar;384724;-353445.51
K;Porland;44122.78;lunes 31 de julio de 2017;Toyota;509328;-465205.22
I;Porland;21909;lunes 27 de marzo de 2017;Hyundai;121889;-99980
N;Porland;27482.48;domingo 01 de enero de 2017;BMW;366207;-338724.52
A;Porland;29305.69;miércoles 05 de julio de 2017;Mercedes-Benz;665685;-636379.31
F;Porland;47712.14;viernes 23 de junio de 2017;Citroen;361084;-313371.86
U;Porland;17812.85;domingo 24 de diciembre de 2017;Nissan;56659;-38846.15
L;Porland;18004.04;miércoles 27 de septiembre de 2017;Volkswagen;478975;-460970.96
S;Porland;37606.42;martes 14 de febrero de 2017;Peugeot;287741;-250134.58
A;Porland;48762.45;lunes 30 de octubre de 2017;Mercedes-Benz;665685;-616922.55
H;Porland;9639.61;martes 11 de julio de 2017;Renault;417019;-407379.39
G;Porland;43208.53;viernes 22 de diciembre de 2017;Jeep;62985;-19776.47
E;Porland;9594.92;viernes 24 de febrero de 2017;Kia;526617;-517022.08
D;Porland;2923.68;viernes 27 de octubre de 2017;Jaguar;384724;-381800.32
M;Porland;9924.75;sábado 04 de febrero de 2017;Mazda;327078;-317153.25
E;Porland;22317.62;lunes 17 de abril de 2017;Kia;526617;-504299.38
B;Porland;17517.72;miércoles 30 de agosto de 2017;Audi;506811;-489293.28
K;Porland;2558.05;miércoles 19 de julio de 2017;Toyota;509328;-506769.95
A;Porland;35540.06;viernes 08 de septiembre de 2017;Mercedes-Benz;665685;-630144.94
F;Porland;33713.29;martes 19 de diciembre de 2017;Citroen;361084;-327370.71
L;Porland;39569.79;jueves 05 de enero de 2017;Volkswagen;478975;-439405.21
C;Porland;35304.64;sábado 06 de mayo de 2017;Ford;145385;-110080.36
Q;Porland;2338.03;lunes 12 de junio de 2017;Suzuki;121590;-119251.97
O;Porland;5197.27;viernes 24 de noviembre de 2017;Fiat;117711;-112513.73
I;Porland;39987.85;sábado 24 de junio de 2017;Hyundai;121889;-81901.15
N;Porland;29922.56;domingo 10 de diciembre de 2017;BMW;366207;-336284.44
I;Porland;23229.2;miércoles 22 de marzo de 2017;Hyundai;121889;-98659.8
K;Porland;38684.85;miércoles 17 de mayo de 2017;Toyota;509328;-470643.15
A;Porland;6436.4;lunes 26 de junio de 2017;Mercedes-Benz;665685;-659248.6
M;Porland;23553.15;miércoles 11 de octubre de 2017;Mazda;327078;-303524.85
T;Porland;40023.14;viernes 19 de mayo de 2017;Isuzu;288473;-248449.86
Q;Porland;8224.73;martes 05 de septiembre de 2017;Suzuki;121590;-113365.27
M;Porland;28916.85;lunes 18 de diciembre de 2017;Mazda;327078;-298161.15
A;Porland;13370.2;sábado 07 de octubre de 2017;Mercedes-Benz;665685;-652314.8
G;Porland;7121.61;jueves 26 de enero de 2017;Jeep;62985;-55863.39
I;Porland;23433.55;miércoles 28 de junio de 2017;Hyundai;121889;-98455.45
F;Porland;25402.23;jueves 26 de enero de 2017;Citroen;361084;-335681.77
K;Porland;26715.23;martes 13 de junio de 2017;Toyota;509328;-482612.77
N;Porland;45991.36;viernes 14 de abril de 2017;BMW;366207;-320215.64
U;Porland;5410.74;domingo 03 de diciembre de 2017;Nissan;56659;-51248.26
G;Porland;3140.85;lunes 13 de marzo de 2017;Jeep;62985;-59844.15
T;Porland;19057.5;viernes 10 de febrero de 2017;Isuzu;288473;-269415.5
I;Porland;33052.99;lunes 27 de febrero de 2017;Hyundai;121889;-88836.01
L;Porland;630.4;domingo 26 de febrero de 2017;Volkswagen;478975;-478344.6
S;Porland;4935.12;jueves 23 de marzo de 2017;Peugeot;287741;-282805.88
M;Porland;34224.31;martes 12 de diciembre de 2017;Mazda;327078;-292853.69
A;Porland;1966.1;lunes 24 de abril de 2017;Mercedes-Benz;665685;-663718.9
L;Porland;33748.48;lunes 16 de enero de 2017;Volkswagen;478975;-445226.52
L;Porland;20868.21;jueves 19 de octubre de 2017;Volkswagen;478975;-458106.79
H;Porland;32397.01;viernes 16 de junio de 2017;Renault;417019;-384621.99
P;Porland;19247.45;domingo 23 de julio de 2017;Volvo;579877;-560629.55
P;Porland;1990.39;martes 28 de noviembre de 2017;Volvo;579877;-577886.61
A;Porland;26999.73;miércoles 17 de mayo de 2017;Mercedes-Benz;665685;-638685.27
J;Porland;45597.43;lunes 14 de agosto de 2017;Mitsubishi;362567;-316969.57
L;Porland;24996.95;lunes 15 de mayo de 2017;Volkswagen;478975;-453978.05
J;Porland;42790.05;miércoles 27 de diciembre de 2017;Mitsubishi;362567;-319776.95
B;Porland;26239.94;jueves 01 de junio de 2017;Audi;506811;-480571.06
M;Porland;48344.61;domingo 15 de enero de 2017;Mazda;327078;-278733.39
Q;Porland;23164.47;domingo 10 de diciembre de 2017;Suzuki;121590;-98425.53
L;Porland;9096.26;miércoles 22 de noviembre de 2017;Volkswagen;478975;-469878.74
C;Porland;45264.12;lunes 22 de mayo de 2017;Ford;145385;-100120.88
J;Porland;18742.57;martes 20 de junio de 2017;Mitsubishi;362567;-343824.43
P;Porland;22526.67;sábado 12 de agosto de 2017;Volvo;579877;-557350.33
S;Porland;35276.66;domingo 08 de enero de 2017;Peugeot;287741;-252464.34
M;Porland;45393.3;domingo 01 de octubre de 2017;Mazda;327078;-281684.7
F;Porland;30839.73;miércoles 25 de octubre de 2017;Citroen;361084;-330244.27
N;Porland;35293.24;lunes 13 de noviembre de 2017;BMW;366207;-330913.76
R;Porland;43591.18;viernes 06 de octubre de 2017;Seat;3396;40195.18
G;Porland;37754.68;martes 11 de julio de 2017;Jeep;62985;-25230.32
L;Porland;29545.3;domingo 25 de junio de 2017;Volkswagen;478975;-449429.7
P;Porland;1778.82;jueves 20 de abril de 2017;Volvo;579877;-578098.18
P;Porland;6677;lunes 11 de diciembre de 2017;Volvo;579877;-573200
L;Porland;8527.06;domingo 20 de agosto de 2017;Volkswagen;478975;-470447.94
A;Porland;30325.84;jueves 28 de diciembre de 2017;Mercedes-Benz;665685;-635359.16
H;Porland;48365.93;lunes 29 de mayo de 2017;Renault;417019;-368653.07
I;Porland;3460.15;miércoles 08 de noviembre de 2017;Hyundai;121889;-118428.85
F;Porland;8850.86;sábado 25 de noviembre de 2017;Citroen;361084;-352233.14
F;Porland;38746.58;lunes 13 de febrero de 2017;Citroen;361084;-322337.42
T;Porland;30380.45;lunes 08 de mayo de 2017;Isuzu;288473;-258092.55
H;Porland;18691.21;sábado 23 de septiembre de 2017;Renault;417019;-398327.79
B;Porland;15473.93;sábado 28 de enero de 2017;Audi;506811;-491337.07
A;Porland;29198.57;viernes 24 de febrero de 2017;Mercedes-Benz;665685;-636486.43
O;Porland;22026.74;martes 17 de enero de 2017;Fiat;117711;-95684.26
C;Porland;13194.63;lunes 19 de junio de 2017;Ford;145385;-132190.37
O;Porland;29745.14;jueves 23 de noviembre de 2017;Fiat;117711;-87965.86
P;Porland;26154.62;viernes 22 de diciembre de 2017;Volvo;579877;-553722.38
U;Porland;38340.46;jueves 09 de noviembre de 2017;Nissan;56659;-18318.54
M;Porland;40972.29;lunes 15 de mayo de 2017;Mazda;327078;-286105.71
M;Porland;26394.46;domingo 16 de julio de 2017;Mazda;327078;-300683.54
T;Porland;19931.01;domingo 02 de julio de 2017;Isuzu;288473;-268541.99
M;Porland;29076.94;miércoles 08 de marzo de 2017;Mazda;327078;-298001.06
M;Porland;25995.78;lunes 25 de diciembre de 2017;Mazda;327078;-301082.22
M;Porland;2932.64;martes 21 de noviembre de 2017;Mazda;327078;-324145.36
S;Porland;7291.38;domingo 22 de octubre de 2017;Peugeot;287741;-280449.62
I;Porland;26888.38;domingo 16 de abril de 2017;Hyundai;121889;-95000.62
M;Porland;48382.31;viernes 10 de febrero de 2017;Mazda;327078;-278695.69
G;Porland;23310.62;domingo 13 de agosto de 2017;Jeep;62985;-39674.38
G;Porland;43313.1;domingo 16 de abril de 2017;Jeep;62985;-19671.9
O;Porland;8085.96;viernes 06 de enero de 2017;Fiat;117711;-109625.04
K;Porland;19333.17;martes 31 de octubre de 2017;Toyota;509328;-489994.83
Q;Porland;9645.02;jueves 16 de febrero de 2017;Suzuki;121590;-111944.98
H;Miami;18187.62;sábado 15 de abril de 2017;Renault;417019;-398831.38
A;Miami;20361.14;viernes 17 de noviembre de 2017;Mercedes-Benz;665685;-645323.86
B;Miami;34633.28;jueves 18 de mayo de 2017;Audi;506811;-472177.72
J;Miami;1343.25;miércoles 26 de abril de 2017;Mitsubishi;362567;-361223.75
G;Miami;653.56;domingo 10 de septiembre de 2017;Jeep;62985;-62331.44
R;Miami;14475.05;viernes 21 de abril de 2017;Seat;3396;11079.05
S;Miami;41059.75;domingo 05 de marzo de 2017;Peugeot;287741;-246681.25
P;Miami;34750.41;sábado 25 de noviembre de 2017;Volvo;579877;-545126.59
Q;Miami;5657.8;viernes 29 de diciembre de 2017;Suzuki;121590;-115932.2
A;Miami;40221.2;miércoles 22 de febrero de 2017;Mercedes-Benz;665685;-625463.8
Q;Miami;1916.64;miércoles 25 de octubre de 2017;Suzuki;121590;-119673.36
I;Miami;33250.72;viernes 04 de agosto de 2017;Hyundai;121889;-88638.28
C;Miami;43387.02;viernes 17 de febrero de 2017;Ford;145385;-101997.98
K;Miami;4232.15;lunes 30 de octubre de 2017;Toyota;509328;-505095.85
G;Miami;13892.25;lunes 13 de febrero de 2017;Jeep;62985;-49092.75
N;Miami;17934.37;sábado 11 de marzo de 2017;BMW;366207;-348272.63
D;Miami;5498.51;sábado 11 de febrero de 2017;Jaguar;384724;-379225.49
F;Miami;46626.14;jueves 25 de mayo de 2017;Citroen;361084;-314457.86
I;Miami;30324.38;miércoles 08 de noviembre de 2017;Hyundai;121889;-91564.62
J;Miami;49993.3;miércoles 13 de septiembre de 2017;Mitsubishi;362567;-312573.7
L;Miami;8373.12;viernes 08 de diciembre de 2017;Volkswagen;478975;-470601.88
K;Miami;30757.76;martes 03 de enero de 2017;Toyota;509328;-478570.24
K;Miami;7006.7;lunes 04 de diciembre de 2017;Toyota;509328;-502321.3
L;Miami;3655.12;lunes 02 de octubre de 2017;Volkswagen;478975;-475319.88
J;Miami;9398.52;sábado 02 de septiembre de 2017;Mitsubishi;362567;-353168.48
E;Miami;17439.42;viernes 02 de junio de 2017;Kia;526617;-509177.58
F;Miami;14917.88;lunes 28 de agosto de 2017;Citroen;361084;-346166.12
P;Miami;43908.66;sábado 18 de marzo de 2017;Volvo;579877;-535968.34
O;Miami;6080.29;sábado 14 de enero de 2017;Fiat;117711;-111630.71
R;Miami;29155.38;miércoles 13 de diciembre de 2017;Seat;3396;25759.38
A;Miami;15945.19;sábado 18 de febrero de 2017;Mercedes-Benz;665685;-649739.81
A;Miami;15822.97;lunes 03 de abril de 2017;Mercedes-Benz;665685;-649862.03
L;Miami;2260.65;jueves 03 de agosto de 2017;Volkswagen;478975;-476714.35
C;Miami;19589.52;viernes 28 de julio de 2017;Ford;145385;-125795.48
J;Miami;43290.23;miércoles 29 de noviembre de 2017;Mitsubishi;362567;-319276.77
A;Miami;44184.31;lunes 13 de noviembre de 2017;Mercedes-Benz;665685;-621500.69
G;Miami;4600.48;domingo 12 de marzo de 2017;Jeep;62985;-58384.52
B;Miami;39826.01;miércoles 21 de junio de 2017;Audi;506811;-466984.99
I;Miami;43990.13;sábado 16 de diciembre de 2017;Hyundai;121889;-77898.87
T;Miami;5389.55;lunes 25 de septiembre de 2017;Isuzu;288473;-283083.45
Q;Miami;15907.76;martes 17 de enero de 2017;Suzuki;121590;-105682.24
L;Miami;22455.78;sábado 05 de agosto de 2017;Volkswagen;478975;-456519.22
E;Miami;16541.88;martes 15 de agosto de 2017;Kia;526617;-510075.12
R;Miami;31270.93;lunes 13 de marzo de 2017;Seat;3396;27874.93
C;Miami;5803.44;martes 24 de octubre de 2017;Ford;145385;-139581.56
N;Miami;30298.16;domingo 19 de marzo de 2017;BMW;366207;-335908.84
O;Miami;8349.14;lunes 27 de noviembre de 2017;Fiat;117711;-109361.86
G;Miami;41409.85;miércoles 02 de agosto de 2017;Jeep;62985;-21575.15
P;Miami;7276.93;viernes 08 de septiembre de 2017;Volvo;579877;-572600.07
C;Miami;44956.61;jueves 19 de enero de 2017;Ford;145385;-100428.39
G;Miami;8586.06;lunes 12 de junio de 2017;Jeep;62985;-54398.94
J;Miami;22371.49;jueves 02 de marzo de 2017;Mitsubishi;362567;-340195.51
Q;Miami;46208.26;viernes 24 de febrero de 2017;Suzuki;121590;-75381.74
A;Miami;1726.07;viernes 07 de julio de 2017;Mercedes-Benz;665685;-663958.93
I;Miami;33185.93;lunes 13 de marzo de 2017;Hyundai;121889;-88703.07
H;Miami;31660.11;martes 14 de noviembre de 2017;Renault;417019;-385358.89
E;Miami;16897.47;sábado 26 de agosto de 2017;Kia;526617;-509719.53
H;Miami;38123.39;martes 28 de marzo de 2017;Renault;417019;-378895.61
B;Miami;15532.53;viernes 15 de septiembre de 2017;Audi;506811;-491278.47
H;Miami;18587.17;domingo 18 de junio de 2017;Renault;417019;-398431.83
A;Miami;36016.02;miércoles 09 de agosto de 2017;Mercedes-Benz;665685;-629668.98
E;Miami;39404.35;jueves 20 de abril de 2017;Kia;526617;-487212.65
Q;Miami;47531.36;sábado 18 de febrero de 2017;Suzuki;121590;-74058.64
A;Miami;37579.98;viernes 27 de enero de 2017;Mercedes-Benz;665685;-628105.02
Q;Miami;37351.6;viernes 24 de marzo de 2017;Suzuki;121590;-84238.4
Q;Miami;7786.01;viernes 31 de marzo de 2017;Suzuki;121590;-113803.99
B;Miami;22422.99;miércoles 15 de marzo de 2017;Audi;506811;-484388.01
Q;Miami;47732.11;martes 12 de diciembre de 2017;Suzuki;121590;-73857.89
C;Miami;7643.16;jueves 23 de noviembre de 2017;Ford;145385;-137741.84
E;Miami;21323.45;jueves 23 de febrero de 2017;Kia;526617;-505293.55
S;Miami;46299.9;domingo 23 de julio de 2017;Peugeot;287741;-241441.1
F;Miami;26663.1;domingo 01 de octubre de 2017;Citroen;361084;-334420.9
P;Miami;25056.74;sábado 03 de junio de 2017;Volvo;579877;-554820.26
T;Miami;9159.15;domingo 07 de mayo de 2017;Isuzu;288473;-279313.85
J;Miami;28479.23;martes 24 de octubre de 2017;Mitsubishi;362567;-334087.77
S;Miami;2083.98;jueves 16 de noviembre de 2017;Peugeot;287741;-285657.02
T;Miami;9191.17;miércoles 30 de agosto de 2017;Isuzu;288473;-279281.83
J;Miami;7501.14;sábado 29 de julio de 2017;Mitsubishi;362567;-355065.86
M;Miami;16619.92;martes 03 de octubre de 2017;Mazda;327078;-310458.08
D;Miami;22917.83;sábado 04 de noviembre de 2017;Jaguar;384724;-361806.17
O;Miami;11336.11;sábado 04 de noviembre de 2017;Fiat;117711;-106374.89
F;Miami;40175.54;sábado 30 de septiembre de 2017;Citroen;361084;-320908.46
C;Miami;42900.76;viernes 17 de marzo de 2017;Ford;145385;-102484.24
N;Miami;3756.3;miércoles 13 de septiembre de 2017;BMW;366207;-362450.7
R;Miami;48716.21;domingo 02 de julio de 2017;Seat;3396;45320.21
B;Miami;18024.58;sábado 14 de octubre de 2017;Audi;506811;-488786.42
O;Miami;23416.1;sábado 04 de noviembre de 2017;Fiat;117711;-94294.9
A;Miami;37335.4;viernes 09 de junio de 2017;Mercedes-Benz;665685;-628349.6
T;Miami;38975.32;viernes 08 de diciembre de 2017;Isuzu;288473;-249497.68
P;Miami;29342.62;miércoles 19 de abril de 2017;Volvo;579877;-550534.38
B;Miami;37700.13;viernes 31 de marzo de 2017;Audi;506811;-469110.87
N;Miami;12807.73;miércoles 09 de agosto de 2017;BMW;366207;-353399.27
I;Miami;19192.71;miércoles 25 de octubre de 2017;Hyundai;121889;-102696.29
T;Miami;32700.21;sábado 18 de febrero de 2017;Isuzu;288473;-255772.79
T;Miami;48745.27;martes 09 de mayo de 2017;Isuzu;288473;-239727.73
N;Miami;8645.61;sábado 26 de agosto de 2017;BMW;366207;-357561.39
G;Miami;16093.53;domingo 24 de diciembre de 2017;Jeep;62985;-46891.47
S;Miami;24581.43;lunes 06 de marzo de 2017;Peugeot;287741;-263159.57
P;Miami;46941.32;sábado 20 de mayo de 2017;Volvo;579877;-532935.68
T;Miami;38896.42;lunes 08 de mayo de 2017;Isuzu;288473;-249576.58
J;Miami;9986.13;sábado 17 de junio de 2017;Mitsubishi;362567;-352580.87
L;Miami;21571.29;lunes 06 de febrero de 2017;Volkswagen;478975;-457403.71
Q;Miami;30089.13;lunes 08 de mayo de 2017;Suzuki;121590;-91500.87
I;Miami;44915.3;jueves 31 de agosto de 2017;Hyundai;121889;-76973.7
O;Miami;13887.7;martes 25 de abril de 2017;Fiat;117711;-103823.3
C;Miami;40409.85;viernes 31 de marzo de 2017;Ford;145385;-104975.15
K;Miami;33054.24;domingo 28 de mayo de 2017;Toyota;509328;-476273.76
C;Miami;42870.81;domingo 19 de febrero de 2017;Ford;145385;-102514.19
S;Miami;27093.41;miércoles 28 de junio de 2017;Peugeot;287741;-260647.59
Q;Miami;41954.7;miércoles 06 de diciembre de 2017;Suzuki;121590;-79635.3
D;Miami;42982.9;viernes 22 de diciembre de 2017;Jaguar;384724;-341741.1
Q;Miami;41711.92;jueves 07 de diciembre de 2017;Suzuki;121590;-79878.08
J;Miami;29743.08;martes 25 de abril de 2017;Mitsubishi;362567;-332823.92
E;Miami;22045.01;lunes 13 de marzo de 2017;Kia;526617;-504571.99
S;Miami;45692.66;lunes 02 de enero de 2017;Peugeot;287741;-242048.34
H;Miami;49501.32;martes 21 de noviembre de 2017;Renault;417019;-367517.68
I;Miami;48794.25;jueves 08 de junio de 2017;Hyundai;121889;-73094.75
A;Miami;15868.01;jueves 16 de febrero de 2017;Mercedes-Benz;665685;-649816.99
K;Miami;6660.78;viernes 01 de septiembre de 2017;Toyota;509328;-502667.22
R;Miami;45249.93;miércoles 05 de julio de 2017;Seat;3396;41853.93
L;Miami;28137.77;lunes 20 de febrero de 2017;Volkswagen;478975;-450837.23
H;Miami;36577.58;lunes 20 de noviembre de 2017;Renault;417019;-380441.42
R;Miami;24598.5;domingo 25 de junio de 2017;Seat;3396;21202.5
C;Miami;25299.35;jueves 18 de mayo de 2017;Ford;145385;-120085.65
I;Miami;11498.62;miércoles 27 de diciembre de 2017;Hyundai;121889;-110390.38
L;Miami;23083.15;domingo 09 de julio de 2017;Volkswagen;478975;-455891.85
N;Miami;37967.33;lunes 15 de mayo de 2017;BMW;366207;-328239.67
O;Miami;47197.41;martes 14 de febrero de 2017;Fiat;117711;-70513.59
N;Miami;39382.52;sábado 23 de septiembre de 2017;BMW;366207;-326824.48
M;Miami;27064.8;viernes 14 de julio de 2017;Mazda;327078;-300013.2
P;Miami;7452.52;jueves 16 de febrero de 2017;Volvo;579877;-572424.48
E;Miami;40438.46;martes 06 de junio de 2017;Kia;526617;-486178.54
P;Miami;38797.76;miércoles 28 de junio de 2017;Volvo;579877;-541079.24
R;Miami;47596.8;lunes 12 de junio de 2017;Seat;3396;44200.8
M;Miami;4090.23;viernes 07 de abril de 2017;Mazda;327078;-322987.77
Q;Miami;40955.43;martes 29 de agosto de 2017;Suzuki;121590;-80634.57
A;Miami;5171.2;domingo 02 de julio de 2017;Mercedes-Benz;665685;-660513.8
N;Miami;13600.84;miércoles 28 de junio de 2017;BMW;366207;-352606.16
U;Miami;19532.42;lunes 17 de abril de 2017;Nissan;56659;-37126.58
M;Miami;14368.05;jueves 23 de febrero de 2017;Mazda;327078;-312709.95
O;Miami;37795.3;sábado 27 de mayo de 2017;Fiat;117711;-79915.7
P;Miami;42070.83;viernes 24 de noviembre de 2017;Volvo;579877;-537806.17
B;Miami;38294.38;domingo 27 de agosto de 2017;Audi;506811;-468516.62
C;Miami;29562.66;martes 13 de junio de 2017;Ford;145385;-115822.34
I;Miami;37399.28;sábado 17 de junio de 2017;Hyundai;121889;-84489.72
R;Miami;6012.08;martes 19 de diciembre de 2017;Seat;3396;2616.08
A;Miami;41932.85;domingo 16 de julio de 2017;Mercedes-Benz;665685;-623752.15
M;Miami;29506.4;martes 29 de agosto de 2017;Mazda;327078;-297571.6
U;Miami;36972.9;miércoles 08 de febrero de 2017;Nissan;56659;-19686.1
H;Miami;10036.1;miércoles 01 de noviembre de 2017;Renault;417019;-406982.9
U;Miami;34485.59;martes 25 de abril de 2017;Nissan;56659;-22173.41
Q;Miami;48820.15;miércoles 15 de marzo de 2017;Suzuki;121590;-72769.85
C;Miami;35355.54;domingo 18 de junio de 2017;Ford;145385;-110029.46
S;Miami;47853.72;martes 21 de noviembre de 2017;Peugeot;287741;-239887.28
A;Miami;13030.15;domingo 17 de diciembre de 2017;Mercedes-Benz;665685;-652654.85
Q;Miami;40366.34;domingo 15 de octubre de 2017;Suzuki;121590;-81223.66
K;Miami;37474.92;sábado 25 de noviembre de 2017;Toyota;509328;-471853.08
T;Miami;23256.14;domingo 08 de enero de 2017;Isuzu;288473;-265216.86
F;Miami;44749.82;jueves 12 de octubre de 2017;Citroen;361084;-316334.18
A;Miami;17853.92;domingo 21 de mayo de 2017;Mercedes-Benz;665685;-647831.08
T;Miami;38363.7;martes 26 de diciembre de 2017;Isuzu;288473;-250109.3
S;Miami;4726.74;lunes 27 de noviembre de 2017;Peugeot;287741;-283014.26
B;Miami;49013.69;sábado 04 de febrero de 2017;Audi;506811;-457797.31
S;Miami;29134.21;domingo 04 de junio de 2017;Peugeot;287741;-258606.79
S;Miami;14209.82;domingo 16 de abril de 2017;Peugeot;287741;-273531.18
G;Miami;31472.46;lunes 04 de septiembre de 2017;Jeep;62985;-31512.54
B;Miami;9261.75;viernes 02 de junio de 2017;Audi;506811;-497549.25
U;Miami;36258.09;sábado 15 de abril de 2017;Nissan;56659;-20400.91
U;Miami;47608.3;lunes 06 de marzo de 2017;Nissan;56659;-9050.7
P;Miami;29806.74;jueves 09 de febrero de 2017;Volvo;579877;-550070.26
O;Miami;376.45;lunes 13 de febrero de 2017;Fiat;117711;-117334.55
M;Miami;2494.76;martes 25 de julio de 2017;Mazda;327078;-324583.24
E;Miami;6973.31;domingo 14 de mayo de 2017;Kia;526617;-519643.69
K;Miami;29395.31;sábado 18 de febrero de 2017;Toyota;509328;-479932.69
Q;Miami;29208.59;miércoles 08 de febrero de 2017;Suzuki;121590;-92381.41
N;Miami;36958.92;miércoles 26 de julio de 2017;BMW;366207;-329248.08
D;Miami;41317.6;sábado 08 de julio de 2017;Jaguar;384724;-343406.4
M;Miami;46557.69;miércoles 20 de septiembre de 2017;Mazda;327078;-280520.31
Q;Miami;36141.18;domingo 12 de noviembre de 2017;Suzuki;121590;-85448.82
E;Miami;36392.61;lunes 30 de octubre de 2017;Kia;526617;-490224.39
S;Miami;47983.17;domingo 05 de noviembre de 2017;Peugeot;287741;-239757.83
U;Miami;42549.91;viernes 04 de agosto de 2017;Nissan;56659;-14109.09
J;Miami;47666.34;viernes 02 de junio de 2017;Mitsubishi;362567;-314900.66
C;Miami;21803.51;jueves 28 de septiembre de 2017;Ford;145385;-123581.49
